,silhouette_score,calinski_harabasz_score,davies_bouldin_score,adjusted_rand_score,normalized_mutual_info_score,homogeneity_score,n_clusters,training_time,inertia,iterations
pytorch_kmeans,0.0303,14.3374,5.666,0.6051,0.6809,0.7683,8.0,0.0388,1074.3131,16.0
stochastic_embedding,0.0003,1.2151,30.5012,0.0044,0.0042,0.003,2.0,4.0313,,
